epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1113.73,1.51415,0.83434,1.24187,0.8343,0.58751,0.6601,0.35284,1.40134,0.65181,1.0536,0.00333277,0.00333277,0.00333277
2,2209.09,1.48311,0.84025,1.20066,0.83796,0.5727,0.6514,0.3523,1.3725,0.66382,1.04124,0.00664411,0.00664411,0.00664411
3,3292.8,1.52919,0.90178,1.22665,0.83505,0.55227,0.63073,0.33898,1.39156,0.7033,1.05039,0.00993344,0.00993344,0.00993344
4,4370.15,1.56464,0.95269,1.24931,0.8138,0.54936,0.62063,0.33391,1.39089,0.71319,1.04977,0.009901,0.009901,0.009901
5,1113.35,1.54622,0.93534,1.24013,0.83249,0.54683,0.62136,0.33634,1.38015,0.68866,1.04165,0.009868,0.009868,0.009868
6,2207.58,1.5387,0.92477,1.2323,0.83139,0.55697,0.63051,0.34066,1.37227,0.68506,1.03548,0.009835,0.009835,0.009835
7,3293.54,1.52281,0.91252,1.22442,0.83141,0.5562,0.63373,0.34607,1.3607,0.67395,1.03366,0.009802,0.009802,0.009802
8,4390.61,1.5147,0.89872,1.21817,0.83154,0.56282,0.63834,0.34768,1.35213,0.66608,1.0292,0.009769,0.009769,0.009769
9,5498.29,1.52021,0.90401,1.21895,0.83876,0.56227,0.63959,0.35048,1.34504,0.65914,1.0253,0.009736,0.009736,0.009736
10,6620.63,1.51057,0.89504,1.21821,0.83665,0.56422,0.64098,0.34951,1.34371,0.6532,1.02554,0.009703,0.009703,0.009703
11,7733.85,1.51172,0.89441,1.21434,0.8394,0.56535,0.6432,0.35288,1.3373,0.64958,1.02431,0.00967,0.00967,0.00967
12,8832.34,1.50676,0.88949,1.2115,0.83786,0.56786,0.64462,0.35487,1.33347,0.64601,1.02033,0.009637,0.009637,0.009637
13,9951.72,1.50063,0.8852,1.20379,0.83569,0.57011,0.64553,0.35515,1.33189,0.64162,1.01925,0.009604,0.009604,0.009604
14,11058.5,1.50059,0.87948,1.2063,0.84122,0.56786,0.64623,0.35587,1.32905,0.63935,1.01911,0.009571,0.009571,0.009571
15,12172.9,1.48893,0.87581,1.20422,0.84181,0.56726,0.64627,0.35638,1.32462,0.63616,1.01759,0.009538,0.009538,0.009538
16,13293.3,1.4922,0.87566,1.20094,0.84116,0.56994,0.6474,0.35759,1.32344,0.63349,1.0166,0.009505,0.009505,0.009505
17,14423.4,1.48368,0.86993,1.20099,0.83822,0.57204,0.64833,0.35778,1.3213,0.63177,1.01489,0.009472,0.009472,0.009472
18,1130.1,1.47399,0.85678,1.19564,0.83929,0.57224,0.64876,0.35835,1.32,0.62924,1.01409,0.009439,0.009439,0.009439
19,2285.76,1.48069,0.867,1.19714,0.84175,0.57152,0.64931,0.35891,1.31922,0.62795,1.014,0.009406,0.009406,0.009406
20,3435.91,1.47813,0.86226,1.19552,0.84124,0.57285,0.65004,0.35948,1.31904,0.62723,1.01375,0.009373,0.009373,0.009373
21,4569.65,1.47576,0.85877,1.19323,0.84159,0.57355,0.65058,0.35962,1.31845,0.62605,1.01361,0.00934,0.00934,0.00934
22,5718.9,1.47823,0.86209,1.19295,0.84063,0.5743,0.65086,0.35985,1.31824,0.62521,1.01327,0.009307,0.009307,0.009307
23,6853.61,1.4697,0.85512,1.19222,0.84079,0.57455,0.65093,0.36013,1.31798,0.62416,1.01295,0.009274,0.009274,0.009274
24,7970.45,1.47577,0.85988,1.19075,0.84121,0.57493,0.65127,0.36057,1.31677,0.62338,1.01227,0.009241,0.009241,0.009241
25,9090.18,1.47539,0.85672,1.18963,0.84112,0.57614,0.65205,0.36085,1.31651,0.6229,1.01217,0.009208,0.009208,0.009208
26,10201.4,1.47101,0.85396,1.18516,0.83941,0.57686,0.65199,0.36081,1.3162,0.62234,1.01181,0.009175,0.009175,0.009175
27,11322.5,1.47408,0.85219,1.18784,0.83936,0.57663,0.65235,0.36123,1.31587,0.62188,1.01188,0.009142,0.009142,0.009142
28,12429.1,1.46416,0.85149,1.18879,0.83953,0.57615,0.65215,0.36115,1.31541,0.6216,1.0117,0.009109,0.009109,0.009109
29,13512.4,1.46908,0.8536,1.1856,0.84041,0.57573,0.65197,0.36086,1.31546,0.6214,1.01157,0.009076,0.009076,0.009076
30,14587.6,1.46516,0.84953,1.1882,0.84122,0.57603,0.65235,0.36115,1.31491,0.62107,1.01139,0.009043,0.009043,0.009043
31,1174.89,1.4442,0.82954,1.17856,0.84095,0.5762,0.65224,0.36099,1.31456,0.62039,1.01111,0.00901,0.00901,0.00901
32,2356.38,1.46053,0.8452,1.18399,0.8411,0.57671,0.65275,0.3612,1.31435,0.62006,1.01082,0.008977,0.008977,0.008977
33,3500.36,1.45956,0.84613,1.18359,0.83984,0.57683,0.65237,0.36138,1.31396,0.61983,1.01067,0.008944,0.008944,0.008944
34,1178.64,1.43326,0.8201,1.17454,0.84064,0.57699,0.65256,0.36167,1.31338,0.61903,1.01018,0.008911,0.008911,0.008911
35,2335.46,1.45533,0.84172,1.18263,0.84112,0.57696,0.65304,0.36173,1.31337,0.61878,1.01013,0.008878,0.008878,0.008878
36,3501.37,1.45826,0.84426,1.18335,0.84217,0.57706,0.65316,0.36167,1.31346,0.61842,1.01007,0.008845,0.008845,0.008845
37,4681.34,1.46168,0.84548,1.18238,0.84109,0.57678,0.65324,0.36192,1.31294,0.61815,1.00985,0.008812,0.008812,0.008812
38,5818.36,1.46442,0.84848,1.18434,0.84003,0.57678,0.65283,0.36172,1.31271,0.61806,1.0095,0.008779,0.008779,0.008779
39,6933.02,1.45983,0.84515,1.18597,0.84048,0.57696,0.65295,0.36194,1.31227,0.6178,1.00921,0.008746,0.008746,0.008746
40,8053.98,1.46585,0.84918,1.18319,0.84108,0.57674,0.65287,0.3619,1.31206,0.61746,1.0091,0.008713,0.008713,0.008713
41,9177.73,1.46586,0.84548,1.18266,0.84086,0.57713,0.65312,0.36226,1.31198,0.61705,1.00898,0.00868,0.00868,0.00868
42,10295.7,1.46227,0.84743,1.1804,0.8409,0.57692,0.65295,0.36223,1.31172,0.61708,1.00882,0.008647,0.008647,0.008647
43,1103.63,1.42115,0.80866,1.16766,0.84003,0.57716,0.65296,0.36236,1.3057,0.61466,1.00682,0.008614,0.008614,0.008614
44,2212.1,1.44634,0.83243,1.17879,0.8394,0.57717,0.65313,0.36214,1.30544,0.61439,1.00674,0.008581,0.008581,0.008581
45,3305.82,1.45023,0.8371,1.17949,0.83968,0.57733,0.6534,0.36257,1.30492,0.61434,1.0064,0.008548,0.008548,0.008548
46,4402.82,1.45385,0.83795,1.18026,0.83809,0.57879,0.65367,0.36271,1.305,0.61424,1.00647,0.008515,0.008515,0.008515
47,5509.07,1.45757,0.8433,1.18186,0.8378,0.57899,0.65362,0.36299,1.30487,0.61402,1.00644,0.008482,0.008482,0.008482
48,6638.04,1.45284,0.83738,1.18049,0.8396,0.57881,0.65386,0.36287,1.30496,0.6137,1.00635,0.008449,0.008449,0.008449
49,7818.45,1.46097,0.84405,1.18093,0.83902,0.57869,0.65371,0.36284,1.30482,0.61318,1.00618,0.008416,0.008416,0.008416
50,1090.3,1.40864,0.7981,1.16176,0.84088,0.57831,0.65396,0.36281,1.30465,0.61256,1.00606,0.008383,0.008383,0.008383
51,2192.49,1.43861,0.82389,1.17517,0.84023,0.57856,0.65424,0.36282,1.30497,0.61228,1.00596,0.00835,0.00835,0.00835
52,3288.81,1.44486,0.83068,1.17453,0.84017,0.57852,0.65405,0.36289,1.30477,0.61197,1.0056,0.008317,0.008317,0.008317
53,4374.45,1.44894,0.83379,1.17819,0.8425,0.57748,0.65424,0.36295,1.30482,0.61204,1.00558,0.008284,0.008284,0.008284
54,5462.23,1.4538,0.83838,1.1788,0.84108,0.57776,0.65402,0.36295,1.30449,0.61177,1.00552,0.008251,0.008251,0.008251
55,1076.74,1.39781,0.78903,1.15621,0.84154,0.57763,0.65417,0.36316,1.30452,0.61119,1.00535,0.008218,0.008218,0.008218
56,2170.44,1.43262,0.8191,1.17102,0.84062,0.57801,0.65425,0.36322,1.30463,0.61112,1.00523,0.008185,0.008185,0.008185
57,3260.33,1.44095,0.82783,1.17336,0.84048,0.57768,0.65398,0.36323,1.30464,0.61115,1.00507,0.008152,0.008152,0.008152
58,4353.47,1.44633,0.83073,1.17375,0.84116,0.57721,0.65418,0.36331,1.30499,0.61096,1.00513,0.008119,0.008119,0.008119
59,5433.49,1.45358,0.83701,1.17823,0.84269,0.57716,0.65484,0.36319,1.30453,0.61063,1.00508,0.008086,0.008086,0.008086
60,1134.9,1.38803,0.78054,1.15249,0.84278,0.57681,0.65457,0.36334,1.30456,0.61018,1.00501,0.008053,0.008053,0.008053
61,2267.62,1.42745,0.8139,1.16915,0.8425,0.57664,0.65461,0.36323,1.30442,0.60992,1.00505,0.00802,0.00802,0.00802
62,3390.74,1.43804,0.8219,1.17234,0.84191,0.577,0.65441,0.36321,1.30449,0.60987,1.00498,0.007987,0.007987,0.007987
63,4527.04,1.44536,0.82715,1.17553,0.84089,0.57765,0.6545,0.36332,1.30443,0.60964,1.00499,0.007954,0.007954,0.007954
64,5648.48,1.45176,0.83447,1.17724,0.84032,0.57841,0.65467,0.36346,1.30427,0.60978,1.00478,0.007921,0.007921,0.007921
65,6769.69,1.45013,0.83149,1.17813,0.84298,0.57748,0.65535,0.36368,1.30386,0.6097,1.00462,0.007888,0.007888,0.007888
66,7903.02,1.45732,0.83809,1.17955,0.84336,0.5777,0.65518,0.36387,1.30289,0.60925,1.00455,0.007855,0.007855,0.007855
67,9057.71,1.4564,0.83654,1.17516,0.84254,0.57836,0.65547,0.36402,1.30243,0.60914,1.00434,0.007822,0.007822,0.007822
68,10197,1.45518,0.83576,1.17678,0.84289,0.5786,0.65556,0.36409,1.30214,0.60879,1.00436,0.007789,0.007789,0.007789
69,11316.8,1.45697,0.8325,1.17784,0.84165,0.57914,0.65579,0.36419,1.30168,0.60868,1.00418,0.007756,0.007756,0.007756
70,12435.7,1.45003,0.83256,1.17964,0.84289,0.57911,0.65596,0.36391,1.30143,0.60846,1.00395,0.007723,0.007723,0.007723
71,13532.2,1.45476,0.83842,1.17784,0.8441,0.57863,0.65597,0.36438,1.30083,0.60847,1.00384,0.00769,0.00769,0.00769
72,14633.8,1.44765,0.83043,1.17905,0.84552,0.57809,0.65608,0.36446,1.30105,0.60864,1.00376,0.007657,0.007657,0.007657
73,1069.75,1.3865,0.77836,1.14886,0.84507,0.57806,0.65608,0.36446,1.30109,0.608,1.0037,0.007624,0.007624,0.007624
74,2158.6,1.41977,0.80539,1.16254,0.8451,0.57776,0.65587,0.36442,1.30121,0.60768,1.00353,0.007591,0.007591,0.007591
75,3244.38,1.42889,0.81543,1.16787,0.84387,0.57861,0.65586,0.36476,1.30083,0.60739,1.00354,0.007558,0.007558,0.007558
76,4324.67,1.43562,0.81902,1.16889,0.84377,0.57844,0.65562,0.36473,1.30087,0.60716,1.00351,0.007525,0.007525,0.007525
77,5409.57,1.44301,0.82644,1.17096,0.84513,0.57818,0.65566,0.36457,1.30079,0.60732,1.00337,0.007492,0.007492,0.007492
78,6494.38,1.43995,0.825,1.17332,0.84282,0.57931,0.65612,0.36499,1.30041,0.60728,1.00328,0.007459,0.007459,0.007459
79,7582.13,1.44787,0.82928,1.17303,0.84408,0.57881,0.65598,0.36508,1.29986,0.60718,1.00305,0.007426,0.007426,0.007426
80,8666.71,1.45032,0.8287,1.17104,0.84437,0.57807,0.65549,0.36485,1.29975,0.60721,1.00294,0.007393,0.007393,0.007393
81,9747.42,1.44888,0.82847,1.17122,0.84446,0.57841,0.65616,0.36495,1.29945,0.60733,1.00284,0.00736,0.00736,0.00736
82,10827.9,1.45048,0.82637,1.1734,0.84493,0.57939,0.65657,0.36529,1.29905,0.60737,1.00267,0.007327,0.007327,0.007327
83,11913.2,1.44188,0.8279,1.1743,0.84363,0.57997,0.65692,0.36543,1.29836,0.60704,1.0024,0.007294,0.007294,0.007294
84,12997,1.44908,0.83155,1.17323,0.8446,0.5795,0.65691,0.3653,1.29797,0.60698,1.00217,0.007261,0.007261,0.007261
85,14074.9,1.44377,0.82448,1.17672,0.84339,0.57929,0.65665,0.36563,1.29773,0.6068,1.00217,0.007228,0.007228,0.007228
86,15162.5,1.44965,0.83083,1.17554,0.84484,0.57831,0.65642,0.36599,1.29709,0.60644,1.00206,0.007195,0.007195,0.007195
87,1167.92,1.38253,0.77383,1.14701,0.84584,0.57821,0.65663,0.36587,1.30268,0.60745,1.0036,0.007162,0.007162,0.007162
88,2350.66,1.41151,0.79745,1.15892,0.84577,0.57861,0.65685,0.36569,1.30284,0.60711,1.00352,0.007129,0.007129,0.007129
89,3526.28,1.41898,0.80525,1.16068,0.84457,0.57889,0.65682,0.36558,1.3029,0.60698,1.00333,0.007096,0.007096,0.007096
90,4696.02,1.42578,0.80971,1.16395,0.84426,0.57908,0.65681,0.36605,1.30278,0.6067,1.00331,0.007063,0.007063,0.007063
91,5869.55,1.43274,0.81754,1.16867,0.84435,0.57926,0.65689,0.3661,1.30281,0.60662,1.00322,0.00703,0.00703,0.00703
92,7054.67,1.43187,0.81561,1.16944,0.84542,0.57824,0.65673,0.36601,1.30269,0.60637,1.00303,0.006997,0.006997,0.006997
93,8248.85,1.43996,0.82098,1.16678,0.84445,0.57946,0.65701,0.36617,1.30271,0.6061,1.00295,0.006964,0.006964,0.006964
94,9455.69,1.44132,0.8211,1.16826,0.8467,0.57801,0.65716,0.36599,1.30256,0.60603,1.00288,0.006931,0.006931,0.006931
95,10664.4,1.44034,0.82124,1.16645,0.8486,0.57631,0.65714,0.36598,1.30264,0.60597,1.0029,0.006898,0.006898,0.006898
96,11871.7,1.44381,0.82117,1.17069,0.84859,0.57648,0.65714,0.36601,1.30253,0.60614,1.00283,0.006865,0.006865,0.006865
97,13051.1,1.43534,0.82082,1.1699,0.8484,0.57651,0.65681,0.36643,1.30236,0.60622,1.00266,0.006832,0.006832,0.006832
98,14213.6,1.442,0.82656,1.17045,0.84839,0.57613,0.65657,0.3663,1.30206,0.60628,1.00247,0.006799,0.006799,0.006799
99,1168.84,1.37125,0.76407,1.14066,0.84678,0.57707,0.657,0.36642,1.30195,0.6053,1.00231,0.006766,0.006766,0.006766
100,2360.74,1.40254,0.78978,1.15309,0.84655,0.57716,0.65698,0.36636,1.30199,0.60493,1.00217,0.006733,0.006733,0.006733
101,3520.77,1.41217,0.79945,1.15928,0.84504,0.57843,0.65743,0.36621,1.3019,0.605,1.00232,0.0067,0.0067,0.0067
102,4685.3,1.41818,0.80324,1.16193,0.84467,0.57841,0.65738,0.36646,1.30196,0.60473,1.00243,0.006667,0.006667,0.006667
103,5842.55,1.4252,0.80945,1.16336,0.84702,0.57786,0.6574,0.36651,1.30195,0.60455,1.00234,0.006634,0.006634,0.006634
104,7009.28,1.4228,0.80825,1.16297,0.84633,0.57798,0.65747,0.36675,1.30185,0.60421,1.00208,0.006601,0.006601,0.006601
